country,alpha_3_code,value
High-income countries,HIC,99.99
Heavily indebted poor countries (HIPC),HPC,46.45
IBRD Only,IBD,98.78
IDA & IBRD total,IBT,88.93
IDA Total,IDA,61.22
IDA blend,IDB,67.86
IDA Only,IDX,57.87
Latin America and the Caribbean,LAC,98.52
Latin America and the Caribbean,UNDP_LAC,98.51
Latin America & Caribbean (excluding high income),LCN,98.39
Least developed countries,LDC,54.61
Low-income countries,LIC,43.21
Lower-middle-income countries,LMIC,90.09
Low & middle income,LMY,88.62
Late-demographic dividend,LTE,99.46
Middle East & North Africa,MEA,97.24
Middle-income countries,MIC,94.05
Middle East & North Africa (excluding high income),MNA,96.78
North America,NAC,100.0
OECD members,OED,99.94
Other small states,OSS,78.6
Pre-demographic dividend,PRE,48.39
Pacific island small states,PSS,87.7
Post-demographic dividend,PST,100.0
Sub-Saharan Africa,SSA,48.23
Sub-Saharan Africa,UNDP_SSA,47.92
Sub-Saharan Africa (excluding high income),SSF,48.23
Small states,SST,82.7
East Asia & Pacific (IDA & IBRD countries),TEA,98.37
Europe & Central Asia (IDA & IBRD countries),TEC,99.99
Latin America & the Caribbean (IDA & IBRD countries),TLA,98.48
Middle East & North Africa (IDA & IBRD countries),TMN,96.74
South Asia (IDA & IBRD),TSA,95.74
Sub-Saharan Africa (IDA & IBRD countries),TSS,48.23
Upper-middle-income countries,UMC,99.38
World,WLD,90.44
